08.12.2019;1,258;1,434;1,434;1,256;-13,06%
30.11.2014;1,951;2,036;2,065;1,949;-4,64%
23.11.2014;2,046;2,197;2,200;2,025;-7,63%
16.11.2014;2,215;2,342;2,355;2,208;-5,58%
09.11.2014;2,346;2,361;2,375;2,297;-1,51%
02.11.2014;2,382;2,351;2,441;2,335;0,17%
26.10.2014;2,378;2,464;2,582;2,364;-5,26%
19.10.2014;2,510;2,506;2,634;2,449;0,97%
12.10.2014;2,486;2,339;2,752;2,274;7,20%
05.10.2014;2,319;2,296;2,396;2,262;-0,73%
28.09.2014;2,336;2,420;2,466;2,280;-1,89%
21.09.2014;2,381;2,344;2,430;2,328;0,21%
14.09.2014;2,376;2,476;2,502;2,368;-3,96%
07.09.2014;2,474;2,289;2,508;2,260;8,84%
31.08.2014;2,273;2,398;2,485;2,257;-6,65%
24.08.2014;2,435;2,492;2,516;2,343;-5,80%
17.08.2014;2,585;2,598;2,661;2,561;-3,22%
10.08.2014;2,671;2,794;2,815;2,664;-5,88%
03.08.2014;2,838;2,709;2,910;2,671;3,92%
27.07.2014;2,731;2,718;2,799;2,625;0,55%
20.07.2014;2,716;2,788;2,798;2,699;-3,10%
13.07.2014;2,803;2,891;2,896;2,776;-3,11%
06.07.2014;2,893;2,833;2,954;2,810;2,77%
29.06.2014;2,815;2,715;2,949;2,708;3,65%
22.06.2014;2,716;2,843;2,851;2,710;-4,47%
15.06.2014;2,843;2,784;2,876;2,746;2,34%
08.06.2014;2,778;2,731;2,842;2,703;0,33%
01.06.2014;2,769;2,964;3,019;2,726;-6,61%
25.05.2014;2,965;3,061;3,061;2,910;-5,90%
18.05.2014;3,151;3,042;3,272;3,041;2,67%
11.05.2014;3,069;2,955;3,161;2,885;3,96%
04.05.2014;2,952;3,039;3,052;2,900;-3,09%
27.04.2014;3,046;3,119;3,184;3,034;-2,18%
20.04.2014;3,114;3,125;3,141;3,077;-0,19%
13.04.2014;3,120;3,197;3,201;3,070;-2,80%
06.04.2014;3,210;3,152;3,236;3,144;0,94%
30.03.2014;3,180;3,291;3,351;3,153;-3,72%
23.03.2014;3,303;3,415;3,452;3,261;-3,02%
16.03.2014;3,406;3,407;3,463;3,346;-0,21%
09.03.2014;3,413;3,419;3,435;3,370;-0,12%
02.03.2014;3,417;3,474;3,497;3,364;-1,78%
23.02.2014;3,479;3,574;3,643;3,451;-3,55%
16.02.2014;3,607;3,649;3,669;3,552;-2,06%
09.02.2014;3,683;3,696;3,790;3,663;-0,16%
02.02.2014;3,689;3,763;3,809;3,688;-2,51%
26.01.2014;3,784;3,912;3,946;3,770;-2,80%
19.01.2014;3,893;3,795;3,932;3,782;2,02%
12.01.2014;3,816;3,923;3,938;3,793;-2,50%
05.01.2014;3,914;3,928;3,954;3,836;-0,66%
29.12.2013;3,940;4,244;4,247;3,934;-6,61%
22.12.2013;4,219;4,219;4,219;4,219;2,30%
15.12.2013;4,124;4,124;4,124;4,124;0,73%
08.12.2013;4,094;4,094;4,094;4,094;-2,20%
01.12.2013;4,186;4,186;4,186;4,186;3,31%
24.11.2013;4,052;4,052;4,052;4,052;-0,69%
17.11.2013;4,080;4,080;4,080;4,080;-0,34%
10.11.2013;4,094;4,094;4,094;4,094;-1,28%
03.11.2013;4,147;4,147;4,147;4,147;0,73%
27.10.2013;4,117;4,117;4,117;4,117;-2,35%
20.10.2013;4,216;4,216;4,216;4,216;1,03%
13.10.2013;4,173;4,173;4,173;4,173;-2,61%
06.10.2013;4,285;4,285;4,285;4,285;-0,65%
29.09.2013;4,313;4,313;4,313;4,313;-5,60%
22.09.2013;4,569;4,569;4,569;4,569;3,39%
15.09.2013;4,419;4,419;4,419;4,419;-3,58%
08.09.2013;4,583;4,583;4,583;4,583;1,78%
01.09.2013;4,503;4,503;4,503;4,503;2,55%
25.08.2013;4,391;4,391;4,391;4,391;1,32%
18.08.2013;4,334;4,334;4,334;4,334;3,41%
11.08.2013;4,191;4,191;4,191;4,191;0,14%
04.08.2013;4,185;4,185;4,185;4,185;-1,88%
28.07.2013;4,265;4,265;4,265;4,265;-3,16%
21.07.2013;4,404;4,404;4,404;4,404;-0,34%
14.07.2013;4,419;4,419;4,419;4,419;-1,52%
07.07.2013;4,487;4,487;4,487;4,487;1,33%
30.06.2013;4,428;4,428;4,428;4,428;-2,53%
23.06.2013;4,543;4,543;4,543;4,543;-1,17%
16.06.2013;4,597;4,597;4,597;4,597;7,23%
09.06.2013;4,287;4,287;4,287;4,287;2,24%
02.06.2013;4,193;4,193;4,193;4,193;0,72%
26.05.2013;4,163;4,163;4,163;4,163;0,24%
19.05.2013;4,153;4,153;4,153;4,153;6,49%
12.05.2013;3,900;3,900;3,900;3,900;0,13%
05.05.2013;3,895;3,895;3,895;3,895;1,99%
28.04.2013;3,819;3,819;3,819;3,819;-6,17%
21.04.2013;4,070;4,070;4,070;4,070;-3,69%
14.04.2013;4,226;4,226;4,226;4,226;-2,56%
07.04.2013;4,337;4,337;4,337;4,337;-1,97%
31.03.2013;4,424;4,424;4,424;4,424;-7,18%
24.03.2013;4,766;4,766;4,766;4,766;5,37%
17.03.2013;4,523;4,523;4,523;4,523;-1,72%
10.03.2013;4,602;4,602;4,602;4,602;0,33%
03.03.2013;4,587;4,587;4,587;4,587;-4,16%
24.02.2013;4,786;4,786;4,786;4,786;7,57%
17.02.2013;4,449;4,449;4,449;4,449;1,67%
10.02.2013;4,376;4,376;4,376;4,376;-3,97%
03.02.2013;4,557;4,557;4,557;4,557;5,32%
27.01.2013;4,327;4,327;4,327;4,327;4,82%
20.01.2013;4,128;4,128;4,128;4,128;-0,79%
13.01.2013;4,161;4,161;4,161;4,161;0,82%
06.01.2013;4,127;4,127;4,127;4,127;-3,12%
30.12.2012;4,260;4,260;4,260;4,260;-5,48%
23.12.2012;4,507;4,507;4,507;4,507;0,74%
16.12.2012;4,474;4,474;4,474;4,474;-2,68%
09.12.2012;4,597;4,597;4,597;4,597;1,39%
02.12.2012;4,534;4,534;4,534;4,534;0,89%
25.11.2012;4,494;4,494;4,494;4,494;-5,21%
18.11.2012;4,741;4,741;4,741;4,741;-2,81%
11.11.2012;4,878;4,878;4,878;4,878;-2,26%
04.11.2012;4,991;4,991;4,991;4,991;0,91%
28.10.2012;4,946;4,946;4,946;4,946;0,94%
21.10.2012;4,900;4,900;4,900;4,900;2,64%
14.10.2012;4,774;4,774;4,774;4,774;-4,06%
07.10.2012;4,976;4,976;4,976;4,976;-1,39%
30.09.2012;5,046;5,046;5,046;5,046;-2,32%
23.09.2012;5,166;5,166;5,166;5,166;1,04%
16.09.2012;5,113;5,113;5,113;5,113;1,91%
09.09.2012;5,017;5,017;5,017;5,017;-1,36%
02.09.2012;5,086;5,086;5,086;5,086;-13,28%
26.08.2012;5,865;5,865;5,865;5,865;2,55%
19.08.2012;5,719;5,719;5,719;5,719;-1,28%
12.08.2012;5,793;5,793;5,793;5,793;-1,91%
05.08.2012;5,906;5,906;5,906;5,906;-2,64%
29.07.2012;6,066;6,066;6,066;6,066;1,93%
22.07.2012;5,951;5,951;5,951;5,951;-3,35%
15.07.2012;6,157;6,157;6,157;6,157;1,73%
08.07.2012;6,052;6,052;6,052;6,052;0,41%
01.07.2012;6,027;6,027;6,027;6,027;3,90%
24.06.2012;5,801;5,801;5,801;5,801;0,42%
17.06.2012;5,777;5,777;5,777;5,777;-2,60%
10.06.2012;5,931;5,931;5,931;5,931;2,75%
03.06.2012;5,772;5,772;5,772;5,772;-1,42%
27.05.2012;5,855;5,855;5,855;5,855;0,95%
20.05.2012;5,800;5,800;5,800;5,800;-2,31%
13.05.2012;5,937;5,937;5,937;5,937;4,60%
06.05.2012;5,676;5,676;5,676;5,676;4,20%
29.04.2012;5,447;5,447;5,447;5,447;-3,42%
22.04.2012;5,640;5,640;5,640;5,640;0,04%
15.04.2012;5,638;5,638;5,638;5,638;2,45%
08.04.2012;5,503;5,503;5,503;5,503;1,10%
01.04.2012;5,443;5,443;5,443;5,443;6,04%
25.03.2012;5,133;5,133;5,133;5,133;1,54%
18.03.2012;5,055;5,055;5,055;5,055;3,97%
11.03.2012;4,862;4,862;4,862;4,862;0,45%
04.03.2012;4,840;4,840;4,840;4,840;-1,51%
26.02.2012;4,914;4,914;4,914;4,914;-9,95%
19.02.2012;5,457;5,457;5,457;5,457;-1,87%
12.02.2012;5,561;5,561;5,561;5,561;-0,29%
05.02.2012;5,577;5,577;5,577;5,577;-1,57%
29.01.2012;5,666;5,666;5,666;5,666;-3,11%
22.01.2012;5,848;5,848;5,848;5,848;-6,75%
15.01.2012;6,271;6,271;6,271;6,271;-6,07%
08.01.2012;6,676;6,676;6,676;6,676;-6,37%
01.01.2012;7,130;7,130;7,130;7,130;1,86%
25.12.2011;7,000;7,000;7,000;7,000;0,11%
18.12.2011;6,992;6,992;6,992;6,992;0,33%
11.12.2011;6,969;6,969;6,969;6,969;1,65%
04.12.2011;6,856;6,856;6,856;6,856;4,05%
27.11.2011;6,589;6,589;6,589;6,589;-9,88%
20.11.2011;7,311;7,311;7,311;7,311;9,04%
13.11.2011;6,705;6,705;6,705;6,705;2,96%
06.11.2011;6,512;6,512;6,512;6,512;2,31%
30.10.2011;6,365;6,365;6,365;6,365;5,75%
23.10.2011;6,019;6,019;6,019;6,019;2,17%
16.10.2011;5,891;5,891;5,891;5,891;1,59%
09.10.2011;5,799;5,799;5,799;5,799;4,83%
02.10.2011;5,532;5,532;5,532;5,532;-0,32%
25.09.2011;5,550;5,550;5,550;5,550;-1,25%
18.09.2011;5,620;5,620;5,620;5,620;1,72%
11.09.2011;5,525;5,525;5,525;5,525;2,20%
04.09.2011;5,406;5,406;5,406;5,406;2,35%
28.08.2011;5,282;5,282;5,282;5,282;4,18%
21.08.2011;5,070;5,070;5,070;5,070;2,59%
14.08.2011;4,942;4,942;4,942;4,942;-1,79%
07.08.2011;5,032;5,032;5,032;5,032;-18,34%
31.07.2011;6,162;6,162;6,162;6,162;4,64%
24.07.2011;5,889;5,889;5,889;5,889;8,97%
17.07.2011;5,404;5,404;5,404;5,404;-6,76%
10.07.2011;5,796;5,796;5,796;5,796;9,94%
03.07.2011;5,272;5,272;5,272;5,272;8,21%
26.06.2011;4,872;4,872;4,872;4,872;-2,29%
19.06.2011;4,986;4,986;4,986;4,986;3,38%
12.06.2011;4,823;4,823;4,823;4,823;0,46%
05.06.2011;4,801;4,801;4,801;4,801;3,67%
29.05.2011;4,631;4,631;4,631;4,631;-2,67%
22.05.2011;4,758;4,758;4,758;4,758;-0,42%
15.05.2011;4,778;4,778;4,778;4,778;1,08%
08.05.2011;4,727;4,727;4,727;4,727;-0,92%
01.05.2011;4,771;4,771;4,771;4,771;0,57%
24.04.2011;4,744;4,744;4,744;4,744;-0,50%
17.04.2011;4,768;4,768;4,768;4,768;0,72%
10.04.2011;4,734;4,734;4,734;4,734;-0,46%
03.04.2011;4,756;4,756;4,756;4,756;-1,29%
27.03.2011;4,818;4,818;4,818;4,818;1,45%
20.03.2011;4,749;4,749;4,749;4,749;1,47%
13.03.2011;4,680;4,680;4,680;4,680;-3,88%
06.03.2011;4,869;4,869;4,869;4,869;-0,37%
27.02.2011;4,887;4,887;4,887;4,887;0,76%
20.02.2011;4,850;4,850;4,850;4,850;1,25%
13.02.2011;4,790;4,790;4,790;4,790;0,25%
06.02.2011;4,778;4,778;4,778;4,778;3,29%
30.01.2011;4,626;4,626;4,626;4,626;-3,24%
23.01.2011;4,781;4,781;4,781;4,781;1,94%
16.01.2011;4,690;4,690;4,690;4,690;0,62%
09.01.2011;4,661;4,661;4,661;4,661;-2,57%
02.01.2011;4,784;4,784;4,784;4,784;-1,16%
26.12.2010;4,840;4,840;4,840;4,840;2,76%
19.12.2010;4,710;4,710;4,710;4,710;2,79%
12.12.2010;4,582;4,582;4,582;4,582;0,00%
05.12.2010;4,582;4,582;4,582;4,582;2,35%
28.11.2010;4,477;4,477;4,477;4,477;0,45%
21.11.2010;4,457;4,457;4,457;4,457;5,79%
14.11.2010;4,213;4,213;4,213;4,213;2,11%
07.11.2010;4,126;4,126;4,126;4,126;4,69%
31.10.2010;3,941;3,941;3,941;3,941;1,16%
24.10.2010;3,896;3,896;3,896;3,896;1,64%
17.10.2010;3,833;3,833;3,833;3,833;2,62%
10.10.2010;3,735;3,735;3,735;3,735;0,46%
03.10.2010;3,718;3,718;3,718;3,718;-3,05%
26.09.2010;3,835;3,835;3,835;3,835;-2,22%
19.09.2010;3,922;3,922;3,922;3,922;0,23%
12.09.2010;3,913;3,913;3,913;3,913;2,43%
05.09.2010;3,820;3,820;3,820;3,820;1,19%
29.08.2010;3,775;3,775;3,775;3,775;-0,58%
22.08.2010;3,797;3,797;3,797;3,797;0,24%
15.08.2010;3,788;3,788;3,788;3,788;-2,12%
08.08.2010;3,870;3,870;3,870;3,870;2,19%
01.08.2010;3,787;3,787;3,787;3,787;-4,51%
25.07.2010;3,966;3,966;3,966;3,966;-2,00%
18.07.2010;4,047;4,047;4,047;4,047;-1,15%
11.07.2010;4,094;4,094;4,094;4,094;1,19%
04.07.2010;4,046;4,046;4,046;4,046;0,67%
27.06.2010;4,019;4,019;4,019;4,019;-2,05%
20.06.2010;4,103;4,103;4,103;4,103;2,63%
13.06.2010;3,998;3,998;3,998;3,998;-1,09%
06.06.2010;4,042;4,042;4,042;4,042;-4,65%
30.05.2010;4,239;4,239;4,239;4,239;2,07%
23.05.2010;4,153;4,153;4,153;4,153;4,77%
16.05.2010;3,964;3,964;3,964;3,964;1,77%
09.05.2010;3,895;3,895;3,895;3,895;-8,74%
02.05.2010;4,268;4,268;4,268;4,268;5,57%
25.04.2010;4,043;4,043;4,043;4,043;2,48%
18.04.2010;3,945;3,945;3,945;3,945;2,26%
11.04.2010;3,858;3,858;3,858;3,858;-1,10%
04.04.2010;3,901;3,901;3,901;3,901;1,43%
28.03.2010;3,846;3,846;3,846;3,846;-1,74%
21.03.2010;3,914;3,914;3,914;3,914;-0,84%
14.03.2010;3,947;3,947;3,947;3,947;-0,28%
07.03.2010;3,958;3,958;3,958;3,958;0,25%
28.02.2010;3,948;3,948;3,948;3,948;-1,30%
21.02.2010;4,000;4,000;4,000;4,000;-2,06%
14.02.2010;4,084;4,084;4,084;4,084;0,99%
07.02.2010;4,044;4,044;4,044;4,044;-0,57%
31.01.2010;4,067;4,067;4,067;4,067;-0,97%
24.01.2010;4,107;4,107;4,107;4,107;0,93%
17.01.2010;4,069;4,069;4,069;4,069;-0,02%
10.01.2010;4,070;4,070;4,070;4,070;-0,12%
03.01.2010;4,075;4,075;4,075;4,075;-1,57%
27.12.2009;4,140;4,140;4,140;4,140;2,30%
20.12.2009;4,047;4,047;4,047;4,047;1,94%
13.12.2009;3,970;3,970;3,970;3,970;-1,07%
06.12.2009;4,013;4,013;4,013;4,013;0,55%
29.11.2009;3,991;3,991;3,991;3,991;-0,97%
22.11.2009;4,030;4,030;4,030;4,030;-0,69%
15.11.2009;4,058;4,058;4,058;4,058;-0,78
